username,total_logged_hours,latest_log
ajimura,3.5,2024-04-23 22:17:00
dedsm,24.5,2024-04-22 18:58:00
fmpereira,2.0,2024-04-26 16:46:00
joaoteixeira,1.17,2024-04-23 11:50:00
rubencorreia,2.0,2024-04-29 19:03:00
